date,rate,maturity_level,granularity
1999-01-01,3.213,12m,monthly
1999-02-01,2.998,12m,monthly
1999-03-01,3.079,12m,monthly
1999-04-01,2.939,12m,monthly
1999-05-03,2.680,12m,monthly
1999-06-01,2.735,12m,monthly
1999-07-01,2.910,12m,monthly
1999-08-02,3.188,12m,monthly
1999-09-01,3.284,12m,monthly
1999-10-01,3.401,12m,monthly
1999-11-01,3.756,12m,monthly
1999-12-01,3.763,12m,monthly
2000-01-03,3.885,12m,monthly
2000-02-01,4.079,12m,monthly
2000-03-01,4.165,12m,monthly
2000-04-03,4.304,12m,monthly
2000-05-02,4.573,12m,monthly
2000-06-01,4.983,12m,monthly
2000-07-03,5.041,12m,monthly
2000-08-01,5.164,12m,monthly
2000-09-01,5.261,12m,monthly
2000-10-02,5.173,12m,monthly
2000-11-01,5.272,12m,monthly
2000-12-01,5.054,12m,monthly
2001-01-02,4.692,12m,monthly
2001-02-01,4.505,12m,monthly
2001-03-01,4.532,12m,monthly
2001-04-02,4.314,12m,monthly
2001-05-02,4.728,12m,monthly
2001-06-01,4.396,12m,monthly
2001-07-02,4.305,12m,monthly
2001-08-01,4.215,12m,monthly
2001-09-03,3.976,12m,monthly
2001-10-01,3.493,12m,monthly
2001-11-01,3.193,12m,monthly
2001-12-03,3.183,12m,monthly
2002-01-02,3.312,12m,monthly
2002-02-01,3.633,12m,monthly
2002-03-01,3.617,12m,monthly
2002-04-02,3.994,12m,monthly
2002-05-02,3.771,12m,monthly
2002-06-03,3.999,12m,monthly
2002-07-01,3.723,12m,monthly
2002-08-01,3.479,12m,monthly
2002-09-02,3.365,12m,monthly
2002-10-01,3.062,12m,monthly
2002-11-01,3.069,12m,monthly
2002-12-02,3.010,12m,monthly
2003-01-02,2.734,12m,monthly
2003-02-03,2.658,12m,monthly
2003-03-03,2.360,12m,monthly
2003-04-01,2.373,12m,monthly
2003-05-02,2.355,12m,monthly
2003-06-02,2.151,12m,monthly
2003-07-01,2.021,12m,monthly
2003-08-01,2.232,12m,monthly
2003-09-01,2.314,12m,monthly
2003-10-01,2.117,12m,monthly
2003-11-03,2.391,12m,monthly
2003-12-01,2.503,12m,monthly
2004-01-02,2.275,12m,monthly
2004-02-02,2.251,12m,monthly
2004-03-01,2.092,12m,monthly
2004-04-01,1.978,12m,monthly
2004-05-03,2.230,12m,monthly
2004-06-01,2.332,12m,monthly
2004-07-01,2.387,12m,monthly
2004-08-02,2.353,12m,monthly
2004-09-01,2.275,12m,monthly
2004-10-01,2.372,12m,monthly
2004-11-01,2.300,12m,monthly
2004-12-01,2.278,12m,monthly
2005-01-03,2.343,12m,monthly
2005-02-01,2.288,12m,monthly
2005-03-01,2.344,12m,monthly
2005-04-01,2.335,12m,monthly
2005-05-02,2.202,12m,monthly
2005-06-01,2.140,12m,monthly
2005-07-01,2.091,12m,monthly
2005-08-01,2.221,12m,monthly
2005-09-01,2.197,12m,monthly
2005-10-03,2.334,12m,monthly
2005-11-01,2.551,12m,monthly
2005-12-01,2.756,12m,monthly
2006-01-02,2.855,12m,monthly
2006-02-01,2.900,12m,monthly
2006-03-01,2.991,12m,monthly
2006-04-03,3.254,12m,monthly
2006-05-02,3.314,12m,monthly
2006-06-01,3.369,12m,monthly
2006-07-03,3.507,12m,monthly
2006-08-01,3.542,12m,monthly
2006-09-01,3.636,12m,monthly
2006-10-02,3.748,12m,monthly
2006-11-01,3.832,12m,monthly
2006-12-01,3.851,12m,monthly
2007-01-02,4.030,12m,monthly
2007-02-01,4.080,12m,monthly
2007-03-01,4.077,12m,monthly
2007-04-02,4.193,12m,monthly
2007-05-01,4.298,12m,monthly
2007-06-01,4.466,12m,monthly
2007-07-02,4.524,12m,monthly
2007-08-01,4.522,12m,monthly
2007-09-03,4.783,12m,monthly
2007-10-01,4.716,12m,monthly
2007-11-01,4.630,12m,monthly
2007-12-03,4.711,12m,monthly
2008-01-02,4.733,12m,monthly
2008-02-01,4.330,12m,monthly
2008-03-03,4.379,12m,monthly
2008-04-01,4.735,12m,monthly
2008-05-02,4.952,12m,monthly
2008-06-02,5.097,12m,monthly
2008-07-01,5.418,12m,monthly
2008-08-01,5.357,12m,monthly
2008-09-01,5.325,12m,monthly
2008-10-01,5.505,12m,monthly
2008-11-03,4.845,12m,monthly
2008-12-01,3.921,12m,monthly
2009-01-02,3.025,12m,monthly
2009-02-02,2.259,12m,monthly
2009-03-02,2.025,12m,monthly
2009-04-01,1.801,12m,monthly
2009-05-04,1.718,12m,monthly
2009-06-01,1.626,12m,monthly
2009-07-01,1.497,12m,monthly
2009-08-03,1.346,12m,monthly
2009-09-01,1.302,12m,monthly
2009-10-01,1.237,12m,monthly
2009-11-02,1.237,12m,monthly
2009-12-01,1.236,12m,monthly
2010-01-04,1.251,12m,monthly
2010-02-01,1.226,12m,monthly
2010-03-01,1.216,12m,monthly
2010-04-01,1.214,12m,monthly
2010-05-03,1.239,12m,monthly
2010-06-01,1.262,12m,monthly
2010-07-01,1.320,12m,monthly
2010-08-02,1.418,12m,monthly
2010-09-01,1.411,12m,monthly
2010-10-01,1.464,12m,monthly
2010-11-01,1.540,12m,monthly
2010-12-01,1.528,12m,monthly
2011-01-03,1.504,12m,monthly
2011-02-01,1.660,12m,monthly
2011-03-01,1.773,12m,monthly
2011-04-01,2.013,12m,monthly
2011-05-02,2.139,12m,monthly
2011-06-01,2.137,12m,monthly
2011-07-01,2.172,12m,monthly
2011-08-01,2.177,12m,monthly
2011-09-01,2.089,12m,monthly
2011-10-03,2.085,12m,monthly
2011-11-01,2.111,12m,monthly
2011-12-01,2.030,12m,monthly
2012-01-02,1.937,12m,monthly
2012-02-01,1.745,12m,monthly
2012-03-01,1.599,12m,monthly
2012-04-02,1.410,12m,monthly
2012-05-02,1.303,12m,monthly
2012-06-01,1.228,12m,monthly
2012-07-02,1.213,12m,monthly
2012-08-01,0.937,12m,monthly
2012-09-03,0.798,12m,monthly
2012-10-01,0.685,12m,monthly
2012-11-01,0.615,12m,monthly
2012-12-03,0.574,12m,monthly
2013-01-02,0.543,12m,monthly
2013-02-01,0.622,12m,monthly
2013-03-01,0.549,12m,monthly
2013-04-02,0.544,12m,monthly
2013-05-01,0.510,12m,monthly
2013-06-03,0.478,12m,monthly
2013-07-01,0.534,12m,monthly
2013-08-01,0.531,12m,monthly
2013-09-02,0.550,12m,monthly
2013-10-01,0.537,12m,monthly
2013-11-01,0.533,12m,monthly
2013-12-02,0.502,12m,monthly
2014-01-02,0.555,12m,monthly
2014-02-03,0.549,12m,monthly
2014-03-03,0.554,12m,monthly
2014-04-01,0.591,12m,monthly
2014-05-02,0.612,12m,monthly
2014-06-02,0.569,12m,monthly
2014-07-01,0.488,12m,monthly
2014-08-01,0.489,12m,monthly
2014-09-01,0.428,12m,monthly
2014-10-01,0.338,12m,monthly
2014-11-03,0.339,12m,monthly
2014-12-01,0.330,12m,monthly
2015-01-02,0.323,12m,monthly
2015-02-02,0.271,12m,monthly
2015-03-02,0.230,12m,monthly
2015-04-01,0.196,12m,monthly
2015-05-04,0.170,12m,monthly
2015-06-01,0.161,12m,monthly
2015-07-01,0.164,12m,monthly
2015-08-03,0.166,12m,monthly
2015-09-01,0.161,12m,monthly
2015-10-01,0.140,12m,monthly
2015-11-02,0.109,12m,monthly
2015-12-01,0.045,12m,monthly
2016-01-04,0.058,12m,monthly
2016-02-01,0.010,12m,monthly
2016-03-01,-0.026,12m,monthly
2016-04-01,-0.002,12m,monthly
2016-05-02,-0.012,12m,monthly
2016-06-01,-0.018,12m,monthly
2016-07-01,-0.052,12m,monthly
2016-08-01,-0.048,12m,monthly
2016-09-01,-0.051,12m,monthly
2016-10-03,-0.064,12m,monthly
2016-11-01,-0.069,12m,monthly
2016-12-01,-0.079,12m,monthly
2017-01-02,-0.083,12m,monthly
2017-02-01,-0.103,12m,monthly
2017-03-01,-0.114,12m,monthly
2017-04-03,-0.111,12m,monthly
